DEPTH,GR
1000.05,53.84
1000.2,56.4774
1000.35,57.719
1000.5001,57.8831
1000.65,53.4364
1000.8,55.0433
1000.95,54.3997
1001.1,51.7735
1001.2501,52.499
1001.4,55.5547
1001.55,57.2178
1001.7,58.6128
1001.85,60.3141
1002.0001,61.9425
1002.15,60.8896
1002.3,58.5867
1002.45,60.6034
1002.6,61.0404
1002.7501,61.4469
1002.9,57.4664
1003.05,56.1442
1003.2,58.0768
1003.35,58.1379
1003.5001,56.7972
1003.65,55.6708
1003.8,56.6742
1003.95,59.0642
1004.1,60.453
1004.2501,63.6089
1004.4,68.3251
1004.55,70.9904
1004.7,71.9101
1004.85,70.4525
1005.0001,68.0102
1005.15,66.5976
1005.3,63.1841
1005.45,59.3296
1005.6,61.2134
1005.7501,64.9586
1005.9,65.532
1006.05,66.7086
1006.2,64.9317
1006.35,65.0939
1006.5001,66.0709
1006.65,64.1569
1006.8,65.5086
1006.95,66.9108
1007.1,66.6
1007.2501,65.7623
1007.4,62.9485
1007.55,63.3042
1007.7,63.8156
1007.85,62.9072
1008.0001,65.9726
1008.15,64.8034
1008.3,65.7424
1008.45,68.3983
1008.6,70.0965
1008.7501,66.3974
1008.9,66.6679
1009.05,69.7161
1009.2,71.2126
1009.35,67.4191
1009.5001,68.72
1009.65,73.2107
1009.8,74.964
1009.95,71.8992
1010.1,64.2014
1010.2501,63.72
1010.4,63.6474
1010.55,63.2201
1010.7,60.8019
1010.85,61.9249
1011.0001,66.5646
1011.15,69.0554
1011.3,66.1553
1011.45,66.3142
1011.6,65.0886
1011.7501,66.3441
1011.9,65.8119
1012.05,64.0736
1012.2,62.3093
1012.35,63.1223
1012.5001,66.2224
1012.65,65.7457
1012.8,65.7206
1012.95,66.9851
1013.1,69.6487
1013.2501,71.7184
1013.4,69.6898
1013.55,67.9988
1013.7,66.1179
1013.85,63.6977
1014.0001,64.3209
1014.15,65.1187
1014.3,64.68
1014.45,65.6837
1014.6,67.2577
1014.7501,69.0104
1014.9,71.1147
1015.05,71.7566
1015.2,71.8921
1015.35,70.4801
1015.5001,68.2369
1015.65,71.5296
1015.8,74.9608
1015.95,76.7918
1016.1,75.3262
1016.2501,74.132
1016.4,77.8055
1016.55,79.2048
